#YYYY MM DD HH MM P(mm) PET(mm)
2009  5 16  9  0 0.00000 0.00000
2009  5 16 10  0 0.00000 0.00000
2009  5 16 11  0 0.00000 0.00106
2009  5 16 12  0 0.00000 0.04023
2009  5 16 13  0 0.00000 0.13259
2009  5 16 14  0 0.00000 0.13702
2009  5 16 15  0 0.00000 0.13221
2009  5 16 16  0 0.00000 0.14217
2009  5 16 17  0 0.00000 0.15760
2009  5 16 18  0 0.00000 0.22861
2009  5 16 19  0 0.00000 0.24670
2009  5 16 20  0 0.00000 0.18120
2009  5 16 21  0 0.00000 0.13855
2009  5 16 22  0 0.00000 0.10064
2009  5 16 23  0 0.00000 0.05073
2009  5 17  0  0 0.00000 0.01304
2009  5 17  1  0 0.00000 0.00058
2009  5 17  2  0 0.00000 0.00000
2009  5 17  3  0 0.00000 0.00000
2009  5 17  4  0 0.00000 0.00000
2009  5 17  5  0 0.00000 0.00000
2009  5 17  6  0 0.00000 0.00000
2009  5 17  7  0 0.00000 0.00000
2009  5 17  8  0 0.05660 0.00000
2009  5 17  9  0 0.00000 0.00000
2009  5 17 10  0 0.11320 0.00000
2009  5 17 11  0 0.05660 0.00007
2009  5 17 12  0 0.00000 0.00553
2009  5 17 13  0 0.00000 0.03082
2009  5 17 14  0 0.00000 0.08752
2009  5 17 15  0 0.05660 0.19583
2009  5 17 16  0 0.00000 0.37464
2009  5 17 17  0 0.00000 0.50976
2009  5 17 18  0 0.00000 0.39387
2009  5 17 19  0 0.00000 0.33128
2009  5 17 20  0 0.00000 0.32789
2009  5 17 21  0 0.00000 0.29485
2009  5 17 22  0 0.00000 0.21047
2009  5 17 23  0 0.00000 0.12148
2009  5 18  0  0 0.00000 0.04132
2009  5 18  1  0 0.00000 0.00366
2009  5 18  2  0 0.00000 0.00000
2009  5 18  3  0 0.00000 0.00000
2009  5 18  4  0 0.00000 0.00000
2009  5 18  5  0 0.00000 0.00000
2009  5 18  6  0 0.00000 0.00000
2009  5 18  7  0 0.00000 0.00000
2009  5 18  8  0 0.00000 0.00000
2009  5 18  9  0 0.00000 0.00000
2009  5 18 10  0 0.00000 0.00000
2009  5 18 11  0 0.00000 0.00007
2009  5 18 12  0 0.00000 0.01493
2009  5 18 13  0 0.00000 0.06908
2009  5 18 14  0 0.00000 0.14287
2009  5 18 15  0 0.00000 0.19560
2009  5 18 16  0 0.00000 0.33068
2009  5 18 17  0 0.00000 0.41517
2009  5 18 18  0 0.00000 0.40129
2009  5 18 19  0 0.00000 0.38412
2009  5 18 20  0 0.00000 0.33826
2009  5 18 21  0 0.00000 0.32889
2009  5 18 22  0 0.00000 0.25617
2009  5 18 23  0 0.00000 0.15221
2009  5 19  0  0 0.00000 0.05207
2009  5 19  1  0 0.00000 0.00432
2009  5 19  2  0 0.00000 0.00000
2009  5 19  3  0 0.00000 0.00000
2009  5 19  4  0 0.00000 0.00000
2009  5 19  5  0 0.00000 0.00000
2009  5 19  6  0 0.00000 0.00000
2009  5 19  7  0 0.00000 0.00000
2009  5 19  8  0 0.00000 0.00000
2009  5 19  9  0 0.00000 0.00000
2009  5 19 10  0 0.00000 0.00000
2009  5 19 11  0 0.00000 0.00016
2009  5 19 12  0 0.00000 0.02177
2009  5 19 13  0 0.00000 0.11278
2009  5 19 14  0 0.00000 0.16960
2009  5 19 15  0 0.00000 0.29217
2009  5 19 16  0 0.00000 0.45642
2009  5 19 17  0 0.00000 0.58290
2009  5 19 18  0 0.00000 0.52874
2009  5 19 19  0 0.00000 0.46788
2009  5 19 20  0 0.00000 0.47023
2009  5 19 21  0 0.00000 0.40425
2009  5 19 22  0 0.00000 0.29557
2009  5 19 23  0 0.00000 0.13180
2009  5 20  0  0 0.00000 0.02648
2009  5 20  1  0 0.00000 0.00286
2009  5 20  2  0 0.00000 0.00000
2009  5 20  3  0 0.00000 0.00000
2009  5 20  4  0 0.00000 0.00000
2009  5 20  5  0 0.00000 0.00000
2009  5 20  6  0 0.00000 0.00000
2009  5 20  7  0 0.00000 0.00000
2009  5 20  8  0 0.00000 0.00000
2009  5 20  9  0 0.00000 0.00000
2009  5 20 10  0 0.00000 0.00000
2009  5 20 11  0 0.00000 0.00014
2009  5 20 12  0 0.00000 0.02331
2009  5 20 13  0 0.00000 0.12009
2009  5 20 14  0 0.00000 0.19092
2009  5 20 15  0 0.00000 0.25849
2009  5 20 16  0 0.00000 0.36604
2009  5 20 17  0 0.00000 0.45365
2009  5 20 18  0 0.00000 0.42477
2009  5 20 19  0 0.00000 0.41129
2009  5 20 20  0 0.00000 0.39864
2009  5 20 21  0 0.00000 0.32811
2009  5 20 22  0 0.00000 0.22137
2009  5 20 23  0 0.00000 0.13394
2009  5 21  0  0 0.00000 0.04752
2009  5 21  1  0 0.00000 0.00426
2009  5 21  2  0 0.00000 0.00000
2009  5 21  3  0 0.00000 0.00000
2009  5 21  4  0 0.00000 0.00000
2009  5 21  5  0 0.00000 0.00000
2009  5 21  6  0 0.00000 0.00000
2009  5 21  7  0 0.00000 0.00000
2009  5 21  8  0 0.00000 0.00000
2009  5 21  9  0 0.00000 0.00000
2009  5 21 10  0 0.00000 0.00000
2009  5 21 11  0 0.00000 0.00010
2009  5 21 12  0 0.00000 0.01983
2009  5 21 13  0 0.00000 0.11540
2009  5 21 14  0 0.00000 0.23207
2009  5 21 15  0 0.00000 0.24914
2009  5 21 16  0 0.00000 0.35665
2009  5 21 17  0 0.15094 0.39756
